BASIC_ZONE,n,accuracy,avg_probability,actual_fg_pct,avg_absolute_error
Mid-Range,21402,0.5862068965517241,0.42272657,0.4170171012054948,0.4835042573602809
In The Paint (Non-RA),44475,0.5759190556492412,0.43891934,0.44370994940978076,0.4832368440059144
Right Corner 3,11397,0.6101605685706765,0.39162102,0.3898394314293235,0.47387611230700816
Left Corner 3,12188,0.6138825073843125,0.386334,0.38611749261568756,0.4719120087875356
Above the Break 3,68358,0.6468152959419526,0.3625002,0.35318470405804736,0.4567157407448865
Restricted Area,61190,0.6748815165876777,0.67335117,0.6635561366236313,0.4020066473731069
