bucket,n,avg_predicted_prob,actual_fg_pct,model
"(-0.001, 0.1]",8,0.09301288265713287,0.0,logreg
"(0.1, 0.2]",383,0.1723830284270315,0.1566579634464752,logreg
"(0.2, 0.3]",8580,0.272648501527139,0.2972027972027972,logreg
"(0.3, 0.4]",84133,0.35971688779473976,0.3626044477196819,logreg
"(0.4, 0.5]",56552,0.43975859962484887,0.4288972980619607,logreg
"(0.5, 0.6]",26973,0.5480066457125349,0.5246728209691173,logreg
"(0.6, 0.7]",23545,0.6511002740168871,0.6531747717137396,logreg
"(0.7, 0.8]",5621,0.7226195186497076,0.7165984700231276,logreg
"(0.8, 0.9]",8155,0.8726702639698342,0.8457388105456775,logreg
"(0.9, 1.0]",5060,0.9096012318937601,0.9339920948616601,logreg
"(-0.001, 0.1]",191,0.08037826418876648,0.08376963350785341,xgb
"(0.1, 0.2]",984,0.167354553937912,0.20426829268292682,xgb
"(0.2, 0.3]",8301,0.26870185136795044,0.29936152270810745,xgb
"(0.3, 0.4]",80347,0.36245089769363403,0.3673565907874594,xgb
"(0.4, 0.5]",66966,0.43911030888557434,0.42830690200997523,xgb
"(0.5, 0.6]",21156,0.5421491861343384,0.5358763471355644,xgb
"(0.6, 0.7]",15785,0.6506661772727966,0.6261640798226165,xgb
"(0.7, 0.8]",12731,0.7449787855148315,0.7242164794595868,xgb
"(0.8, 0.9]",6129,0.8490995764732361,0.8539729156469245,xgb
"(0.9, 1.0]",6420,0.9297252893447876,0.9313084112149532,xgb
