PLAYER_NAME,n,accuracy,avg_probability,actual_fg_pct,avg_absolute_error
Ty Jerome,616,0.5373376623376623,0.46022108,0.5178571428571429,0.48779219350257474
Luke Kennard,430,0.5627906976744186,0.43641365,0.4790697674418605,0.4853497335384058
Alec Burks,270,0.5740740740740741,0.4069682,0.42592592592592593,0.48393956036479385
Sam Hauser,473,0.5771670190274841,0.42206725,0.452431289640592,0.48116409680934086
Gary Trent Jr.,657,0.573820395738204,0.42432362,0.4307458143074581,0.4808810002636873
DeMar DeRozan,1302,0.5867895545314901,0.4683257,0.4792626728110599,0.4808415490590299
Quinten Post,273,0.575091575091575,0.41163275,0.45054945054945056,0.48055458816634866
Nicolas Batum,238,0.5672268907563025,0.41387329,0.4369747899159664,0.48049259242139947
Darius Garland,1173,0.5831202046035806,0.46381298,0.4722932651321398,0.4801735874814857
Tyus Jones,683,0.5973645680819912,0.4402608,0.4480234260614934,0.48012155045702026
Seth Curry,343,0.5685131195335277,0.41549033,0.478134110787172,0.48010561908473076
Brice Sensabaugh,598,0.5702341137123745,0.40531155,0.459866220735786,0.4789256275098858
Stephen Curry,1252,0.5854632587859425,0.43984348,0.4496805111821086,0.47855561798491986
Chris Paul,581,0.5955249569707401,0.41875622,0.42857142857142855,0.478511851492519
Jalen Brunson,1200,0.5791666666666667,0.48562896,0.4875,0.4782772890478373
Collin Sexton,866,0.581986143187067,0.46914467,0.48036951501154734,0.47819038415994436
AJ Green,421,0.5795724465558195,0.39945698,0.42992874109263657,0.4781877866231631
CJ McCollum,1000,0.606,0.45615512,0.444,0.4772756883427501
Jamal Murray,1118,0.5805008944543828,0.45690897,0.4749552772808587,0.4772616215116863
Bogdan Bogdanović,491,0.5865580448065173,0.434493,0.42769857433808556,0.47713802876273387
Grayson Allen,489,0.5869120654396728,0.4335495,0.44785276073619634,0.47651311965442145
Georges Niang,620,0.5919354838709677,0.45626724,0.4612903225806452,0.4764079639507878
Khris Middleton,336,0.5654761904761905,0.44677985,0.47619047619047616,0.47639095237744705
Klay Thompson,877,0.6157354618015963,0.43228042,0.41163055872291904,0.4758496832276696
Cade Cunningham,1453,0.573296627666896,0.453379,0.47075017205781144,0.4758172997895882
Taurean Prince,512,0.580078125,0.45486966,0.458984375,0.47553214270737953
Dillon Brooks,894,0.5850111856823266,0.42321783,0.42953020134228187,0.4749718192773111
Malik Beasley,1069,0.5902712815715622,0.41431662,0.431244153414406,0.47485807724819773
Kyrie Irving,944,0.5826271186440678,0.49468073,0.4735169491525424,0.47482661399358916
Luguentz Dort,593,0.5919055649241147,0.4253446,0.4350758853288364,0.4745550877579549
Aaron Nesmith,379,0.5883905013192612,0.4580674,0.5065963060686016,0.47437968386194634
Cameron Payne,446,0.6076233183856502,0.42511398,0.4013452914798206,0.47432338620114217
Jared McCain,274,0.5948905109489051,0.40949738,0.45985401459854014,0.47425373029099765
Jamison Battle,347,0.5850144092219021,0.3934999,0.42939481268011526,0.4742432676620717
Jaren Jackson Jr.,1208,0.5463576158940397,0.46732375,0.4900662251655629,0.47399047838635
Kevin Durant,1124,0.5880782918149466,0.49619943,0.5266903914590747,0.47398906456989326
Shake Milton,253,0.5849802371541502,0.43800372,0.45454545454545453,0.47395451408129907
Jeff Dowtin Jr.,230,0.5608695652173913,0.43820962,0.48695652173913045,0.47390366229026215
Mike Conley,467,0.6102783725910065,0.42608708,0.4004282655246253,0.47386270758299043
Immanuel Quickley,437,0.5995423340961098,0.42865178,0.42105263157894735,0.473738245751274
Norman Powell,942,0.6093418259023354,0.4666795,0.4851380042462845,0.4732086103559806
Garrison Mathews,257,0.5992217898832685,0.40076727,0.3968871595330739,0.47319476787682174
Donte DiVincenzo,591,0.61082910321489,0.43171385,0.4230118443316413,0.47289544001045164
Josh Giddey,797,0.5846925972396487,0.48042798,0.4642409033877039,0.472801434911479
Brandon Ingram,333,0.5885885885885885,0.4666233,0.46546546546546547,0.47215378503720684
Donovan Mitchell,1317,0.59832953682612,0.45980382,0.44419134396355353,0.4720687456627008
Fred VanVleet,751,0.6271637816245007,0.4148051,0.3821571238348868,0.47194726291929834
Joel Embiid,315,0.6222222222222222,0.50830793,0.4444444444444444,0.47190110191466317
Devin Booker,1420,0.6091549295774648,0.47189665,0.46056338028169014,0.47188310961068514
Eric Gordon,202,0.599009900990099,0.42896336,0.4306930693069307,0.4717466897598588
Antonio Reeves,247,0.5991902834008097,0.41317737,0.4574898785425101,0.47156362018363196
Trae Young,1371,0.600291757840992,0.4272257,0.41210795040116704,0.47129193863496566
T.J. McConnell,623,0.5778491171749599,0.5359411,0.5200642054574639,0.47116683576596874
Tyler Herro,1376,0.6024709302325582,0.44718686,0.4731104651162791,0.4709566346542953
Tyrese Haliburton,997,0.5877632898696088,0.45452487,0.477432296890672,0.4705746699061054
Jordan Clarkson,490,0.5979591836734693,0.4194435,0.41020408163265304,0.4705423495447149
Nikola Vučević,1037,0.6075216972034716,0.51131487,0.5303760848601736,0.4703768243583902
Cam Thomas,453,0.5960264900662252,0.43328512,0.4392935982339956,0.4703491303831273
De'Andre Hunter,760,0.5763157894736842,0.45343155,0.4710526315789474,0.4702372306369637
Jerami Grant,574,0.6306620209059234,0.45361578,0.37282229965156793,0.47019506816976164
Johnny Juzang,475,0.5957894736842105,0.39984047,0.42947368421052634,0.47018126440675634
Jarace Walker,359,0.584958217270195,0.4389443,0.4735376044568245,0.4701727795567685
Brandin Podziemski,625,0.6032,0.41972062,0.448,0.4701244290828705
Aaron Holiday,267,0.5917602996254682,0.38823947,0.43820224719101125,0.4700788815648815
Desmond Bane,1018,0.6031434184675835,0.46010777,0.48428290766208254,0.4696622289468357
Derrick White,959,0.607924921793535,0.42964944,0.4421272158498436,0.46960662019451666
Jaden Hardy,413,0.6150121065375302,0.4335914,0.4358353510895884,0.46934237845296145
Dennis Schröder,823,0.6221142162818954,0.42034867,0.4082624544349939,0.46916916964627703
Isaiah Joe,588,0.6037414965986394,0.42043787,0.44047619047619047,0.4691280611112815
Jose Alvarado,520,0.6269230769230769,0.40768096,0.3923076923076923,0.4690550377735725
Tim Hardaway Jr.,680,0.6235294117647059,0.41785416,0.40588235294117647,0.468998911779593
Cole Anthony,541,0.6284658040665434,0.42645535,0.42513863216266173,0.4689556315899336
Landry Shamet,229,0.5982532751091703,0.42552006,0.462882096069869,0.4689549886373453
Anfernee Simons,1120,0.6125,0.4326321,0.4276785714285714,0.4689182448067835
Miles McBride,544,0.5919117647058824,0.4278953,0.40808823529411764,0.4688009152408032
Jaylin Williams,220,0.6,0.43095487,0.4409090909090909,0.46874066733501174
Duncan Robinson,663,0.6063348416289592,0.42569792,0.4374057315233786,0.46868414994818053
Royce O'Neale,567,0.6172839506172839,0.41361657,0.42504409171075835,0.4686413200496576
Kawhi Leonard,623,0.5730337078651685,0.4969426,0.49759229534510435,0.4685687692551896
Paul George,569,0.6221441124780316,0.44659704,0.4305799648506151,0.4684623355841385
Bobby Portis,595,0.6100840336134454,0.50018144,0.46554621848739497,0.4682962492984884
James Harden,1295,0.6200772200772201,0.42011356,0.41003861003861003,0.4681987995116407
Dorian Finney-Smith,434,0.5898617511520737,0.4300864,0.44930875576036866,0.4680635892026435
Harrison Barnes,681,0.5888399412628488,0.48304164,0.5095447870778267,0.4676723300360373
Ben Simmons,223,0.5560538116591929,0.54739326,0.5201793721973094,0.4674594968958286
Marcus Sasser,296,0.6148648648648649,0.41995993,0.46283783783783783,0.4674567444803747
Marcus Smart,254,0.6181102362204725,0.4037701,0.39763779527559057,0.46719305023668317
Bradley Beal,694,0.6037463976945245,0.47560158,0.49711815561959655,0.46687279411884136
Jaden Ivey,410,0.6073170731707317,0.44675133,0.4634146341463415,0.46663721343729553
Sam Merrill,424,0.6320754716981132,0.40622994,0.4056603773584906,0.4665458409361682
Payton Pritchard,858,0.6013986013986014,0.4302244,0.4766899766899767,0.4664589839451241
Buddy Hield,785,0.6292993630573248,0.43194914,0.4178343949044586,0.46642365641654676
LaMelo Ball,996,0.6214859437751004,0.41510984,0.40763052208835343,0.4663180286910041
Andrew Wiggins,839,0.5935637663885578,0.45780936,0.44815256257449343,0.46614319260128917
Lindy Waters III,249,0.6385542168674698,0.40116286,0.36947791164658633,0.46600448693257257
Tre Jones,238,0.6176470588235294,0.5107055,0.5378151260504201,0.4658345484620884
Kyle Anderson,299,0.6488294314381271,0.4841277,0.47491638795986624,0.46575411735569755
D'Angelo Russell,636,0.6415094339622641,0.43619913,0.3915094339622642,0.46574609541574363
Spencer Dinwiddie,682,0.626099706744868,0.42798147,0.41642228739002934,0.46553875591136146
Nick Smith Jr.,567,0.6190476190476191,0.39566934,0.3915343915343915,0.4655032461440122
Dejounte Murray,494,0.6477732793522267,0.4616467,0.39271255060728744,0.4653452206478428
Kris Dunn,436,0.6032110091743119,0.45018753,0.44036697247706424,0.4650563230960194
Nickeil Alexander-Walker,612,0.6176470588235294,0.44102898,0.4411764705882353,0.4648689665874235
Vít Krejčí,292,0.5856164383561644,0.41810048,0.4965753424657534,0.4646226091131772
Damian Lillard,988,0.6002024291497976,0.44890454,0.4493927125506073,0.4645636266979732
Al Horford,460,0.6434782608695652,0.4620721,0.42391304347826086,0.46414764024641203
Svi Mykhailiuk,300,0.63,0.39825174,0.3933333333333333,0.46386798878510793
Jrue Holiday,573,0.6561954624781849,0.46641394,0.4432809773123909,0.4637437553826011
Trendon Watford,349,0.6303724928366762,0.50824094,0.4699140401146132,0.4635739861894132
Devin Vassell,888,0.6024774774774775,0.4572214,0.4436936936936937,0.4635514875387286
Amir Coffey,510,0.6,0.44970918,0.47058823529411764,0.4635173130269144
Naz Reid,921,0.6199782844733985,0.47201928,0.46254071661237783,0.4634764282018691
Luka Dončić,1023,0.6197458455522972,0.4685176,0.4506353861192571,0.46330782360345385
Keon Ellis,464,0.6012931034482759,0.43354455,0.4892241379310345,0.4632271649476526
Andrew Nembhard,538,0.6263940520446096,0.4650008,0.4591078066914498,0.46321485485175284
Malik Monk,937,0.608324439701174,0.44289577,0.439701173959445,0.4626877080955271
Patrick Williams,516,0.6201550387596899,0.44340196,0.39728682170542634,0.4625940329662358
De'Aaron Fox,1161,0.6192937123169682,0.48707458,0.46425495262704564,0.4625707578417764
Bub Carrington,747,0.6131191432396251,0.4016226,0.40160642570281124,0.46256770947611475
Keyonte George,919,0.6300326441784548,0.39489207,0.3906420021762786,0.46255898971001136
Davion Mitchell,472,0.6038135593220338,0.47162083,0.4724576271186441,0.46242137927309435
Anthony Edwards,1602,0.6154806491885143,0.4530796,0.4500624219725343,0.46231971256500026
Julian Strawther,486,0.6213991769547325,0.4130301,0.43209876543209874,0.46231237921572516
Tyrese Maxey,1088,0.6222426470588235,0.4582145,0.4384191176470588,0.4618561598472297
Scotty Pippen Jr.,593,0.5952782462057336,0.46472648,0.4806070826306914,0.46184617502090297
Kentavious Caldwell-Pope,544,0.6268382352941176,0.4437696,0.43933823529411764,0.4617719662594883
Draymond Green,508,0.6200787401574803,0.4684847,0.4251968503937008,0.4617491515250657
Shai Gilgeous-Alexander,1655,0.6108761329305136,0.5051916,0.5196374622356495,0.46157241810754707
Simone Fontecchio,371,0.633423180592992,0.4278362,0.40431266846361186,0.46152856935950304
Terry Rozier,631,0.6465927099841522,0.43202013,0.393026941362916,0.46147042902543695
Lonnie Walker IV,209,0.6363636363636364,0.4329001,0.4258373205741627,0.4607350887579211
Julian Champagnie,665,0.6270676691729323,0.42989746,0.4150375939849624,0.460540563361089
Coby White,1113,0.6271338724168913,0.45654374,0.4564240790655885,0.46048675643519466
Max Strus,372,0.6344086021505376,0.4261464,0.4435483870967742,0.4604786037597605
Mikal Bridges,1172,0.6049488054607508,0.48183736,0.5051194539249146,0.46038539407603163
Bennedict Mathurin,850,0.6211764705882353,0.46830523,0.46,0.46005017094752365
Caleb Martin,302,0.6324503311258278,0.455824,0.4271523178807947,0.4597229574689802
Gabe Vincent,419,0.6276849642004774,0.3940527,0.4009546539379475,0.4596105108575491
Josh Green,420,0.638095238095238,0.45525274,0.42857142857142855,0.4595833778736137
Jake LaRavia,335,0.6029850746268657,0.44865644,0.4746268656716418,0.4595802317359554
Austin Reaves,1030,0.6145631067961165,0.47033802,0.46310679611650485,0.4595362736979156
Scoot Henderson,681,0.6284875183553598,0.43184143,0.4199706314243759,0.45930712629607423
Naji Marshall,704,0.6065340909090909,0.48525226,0.5142045454545454,0.4592427431330593
Jordan Hawkins,556,0.6384892086330936,0.41124275,0.3723021582733813,0.4589812883691822
DaQuan Jeffries,290,0.6344827586206897,0.42692524,0.4068965517241379,0.45892624207611743
Ja'Kobe Walter,391,0.6061381074168798,0.42666718,0.40664961636828645,0.45850864083260834
Alperen Sengun,1143,0.6272965879265092,0.5337466,0.49606299212598426,0.4584501114912651
Tristan da Silva,482,0.6307053941908713,0.4250561,0.41286307053941906,0.4581426831263724
Nikola Jović,377,0.6419098143236074,0.43789777,0.4562334217506631,0.4578095161472138
Jalen Williams,1168,0.6078767123287672,0.4965267,0.4837328767123288,0.45768931359435394
Gradey Dick,646,0.6253869969040248,0.44231638,0.4102167182662539,0.4573566561374502
Jalen Wilson,619,0.6348949919224556,0.41462186,0.3974151857835218,0.4573379251895313
Kelly Olynyk,268,0.6119402985074627,0.52285993,0.5,0.4571846108605613
Ben Sheppard,287,0.6515679442508711,0.4140062,0.4181184668989547,0.4570178961712309
Haywood Highsmith,391,0.6214833759590793,0.45859227,0.4578005115089514,0.45701784322328887
Dyson Daniels,917,0.6095965103598692,0.48859063,0.4961832061068702,0.4569995094704134
Paolo Banchero,906,0.6291390728476821,0.4521261,0.45474613686534215,0.4568293836074686
Jamal Shead,500,0.638,0.41099474,0.408,0.4568214495778084
Moses Moody,568,0.653169014084507,0.44239587,0.43309859154929575,0.4567913128666475
