GAME_DATE,PLAYER_NAME,TEAM_NAME,HOME_TEAM,AWAY_TEAM,ACTION_TYPE,action_category,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,QUARTER,MINS_LEFT,SECS_LEFT,SHOT_MADE,predicted_prob,prediction,absolute_error
2025-01-15,Santi Aldama,Memphis Grizzlies,SAS,MEM,Alley Oop Layup shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0,-0.4,5.85,4,7,13,0,0.9363902,1,0.936390221118927
2025-04-13,Goga Bitadze,Orlando Magic,ATL,ORL,Driving Dunk Shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0,0.4,5.75,4,11,28,0,0.93630373,1,0.9363037347793579
2024-11-17,Naji Marshall,Dallas Mavericks,OKC,DAL,Driving Dunk Shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0,-0.4,5.65,4,6,40,0,0.93629616,1,0.9362961649894714
2024-11-19,Christian Braun,Denver Nuggets,MEM,DEN,Alley Oop Layup shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0,-0.1,6.05,4,0,7,0,0.9362733,1,0.9362732768058777
2025-04-08,Jarrett Allen,Cleveland Cavaliers,CLE,CHI,Dunk Shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,1,-0.6,6.15,2,0,27,0,0.9361051,1,0.9361050724983215
2024-12-30,Alex Len,Sacramento Kings,SAC,DAL,Cutting Dunk Shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0,-0.2,5.95,4,0,56,0,0.9360823,1,0.9360823035240173
2025-04-04,Daniel Gafford,Dallas Mavericks,LAC,DAL,Tip Dunk Shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0,-0.0,5.25,3,0,6,0,0.93604344,1,0.9360434412956238
2025-02-08,Daniel Gafford,Dallas Mavericks,DAL,HOU,Putback Dunk Shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,1,-0.8,5.95,3,11,23,0,0.9360374,1,0.9360374212265015
2025-01-06,Jericho Sims,New York Knicks,NYK,ORL,Dunk Shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0,-0.5,5.15,2,0,15,0,0.9359182,1,0.9359182119369507
2025-03-22,Trayce Jackson-Davis,Golden State Warriors,ATL,GSW,Cutting Dunk Shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0,-0.9,5.55,3,4,29,0,0.9357753,1,0.9357752799987793
2024-11-24,Bam Adebayo,Miami Heat,MIA,DAL,Dunk Shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0,-0.6,4.75,2,7,29,0,0.93535334,1,0.9353533387184143
2025-01-22,Jaden McDaniels,Minnesota Timberwolves,DAL,MIN,Alley Oop Dunk Shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0,-0.1,6.05,2,9,26,0,0.93533444,1,0.9353344440460205
2024-12-26,Yves Missi,New Orleans Pelicans,NOP,HOU,Dunk Shot,dunk,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0,0.4,4.65,1,9,49,0,0.9352061,1,0.9352061152458191
