model,accuracy,auc,log_loss,brier_score
logreg,0.6276699694077896,0.6551686822784593,0.6430547815957198,0.22654226710236847
xgb,0.6280215515273275,0.6529601235593588,0.6422461942457898,0.22632885266778344
