mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__reg_alpha,param_classifier__reg_lambda,param_classifier__subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
2.28486704826355,0.0,0.34517979621887207,0.0,0.7810890415965769,3.8028572256396647,0.1028392730173686,6,7,371,0.15599452033620265,0.7904180608409973,0.9531616510212273,"{'classifier__colsample_bytree': 0.7810890415965769, 'classifier__gamma': 3.8028572256396647, 'classifier__learning_rate': 0.1028392730173686, 'classifier__max_depth': 6, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 371, 'classifier__reg_alpha': 0.15599452033620265, 'classifier__reg_lambda': 0.7904180608409973, 'classifier__subsample': 0.9531616510212273}",0.6550790484173865,0.6550790484173865,0.0,17
4.228960990905762,0.0,0.37851619720458984,0.0,0.8603902541101232,2.832290311184182,0.01747013931549629,3,12,663,0.21233911067827616,1.409124836035503,0.7141915784487018,"{'classifier__colsample_bytree': 0.8603902541101232, 'classifier__gamma': 2.832290311184182, 'classifier__learning_rate': 0.01747013931549629, 'classifier__max_depth': 3, 'classifier__min_child_weight': 12, 'classifier__n_estimators': 663, 'classifier__reg_alpha': 0.21233911067827616, 'classifier__reg_lambda': 1.409124836035503, 'classifier__subsample': 0.7141915784487018}",0.6577701576217398,0.6577701576217398,0.0,3
2.9678430557250977,0.0,0.2526359558105469,0.0,0.7564847850358383,2.0990257265289514,0.06683340223705389,2,10,725,0.9737555188414592,1.6638567021515211,0.6817122520864873,"{'classifier__colsample_bytree': 0.7564847850358383, 'classifier__gamma': 2.0990257265289514, 'classifier__learning_rate': 0.06683340223705389, 'classifier__max_depth': 2, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 725, 'classifier__reg_alpha': 0.9737555188414592, 'classifier__reg_lambda': 1.6638567021515211, 'classifier__subsample': 0.6817122520864873}",0.6572112313517292,0.6572112313517292,0.0,7
2.9132368564605713,0.0,0.2546119689941406,0.0,0.8664351032665806,1.529847965068651,0.13298770629681458,2,3,734,0.6075448519014384,1.3526206184364575,0.6727680575448478,"{'classifier__colsample_bytree': 0.8664351032665806, 'classifier__gamma': 1.529847965068651, 'classifier__learning_rate': 0.13298770629681458, 'classifier__max_depth': 2, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 734, 'classifier__reg_alpha': 0.6075448519014384, 'classifier__reg_lambda': 1.3526206184364575, 'classifier__subsample': 0.6727680575448478}",0.6535684277810153,0.6535684277810153,0.0,22
2.240159034729004,0.0,0.25068211555480957,0.0,0.9821099380386666,3.8625281322982374,0.11200768177397533,2,2,589,0.24102546602601171,3.916317594127291,0.8634988302239173,"{'classifier__colsample_bytree': 0.9821099380386666, 'classifier__gamma': 3.8625281322982374, 'classifier__learning_rate': 0.11200768177397533, 'classifier__max_depth': 2, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 589, 'classifier__reg_alpha': 0.24102546602601171, 'classifier__reg_lambda': 3.916317594127291, 'classifier__subsample': 0.8634988302239173}",0.6574950142693965,0.6574950142693965,0.0,6
3.3212459087371826,0.0,0.4014301300048828,0.0,0.9416182191076575,0.6934586140310883,0.06192727290878889,3,8,637,0.31171107608941095,3.100340105889054,0.8413485977701479,"{'classifier__colsample_bytree': 0.9416182191076575, 'classifier__gamma': 0.6934586140310883, 'classifier__learning_rate': 0.06192727290878889, 'classifier__max_depth': 3, 'classifier__min_child_weight': 8, 'classifier__n_estimators': 637, 'classifier__reg_alpha': 0.31171107608941095, 'classifier__reg_lambda': 3.100340105889054, 'classifier__subsample': 0.8413485977701479}",0.6546604920850521,0.6546604920850521,0.0,19
2.249049186706543,0.0,0.3083760738372803,0.0,0.7146990594339345,3.8783385110582342,0.10801593880333374,3,10,519,0.7272719958564209,2.132703844029177,0.8496553910418898,"{'classifier__colsample_bytree': 0.7146990594339345, 'classifier__gamma': 3.8783385110582342, 'classifier__learning_rate': 0.10801593880333374, 'classifier__max_depth': 3, 'classifier__min_child_weight': 10, 'classifier__n_estimators': 519, 'classifier__reg_alpha': 0.7272719958564209, 'classifier__reg_lambda': 2.132703844029177, 'classifier__subsample': 0.8496553910418898}",0.6558174591382764,0.6558174591382764,0.0,14
1.7249042987823486,0.0,0.31409263610839844,0.0,0.8322919910090383,3.8446880973973965,0.11634406184137816,6,18,302,0.5867511656638482,5.32627653632069,0.8624619866903397,"{'classifier__colsample_bytree': 0.8322919910090383, 'classifier__gamma': 3.8446880973973965, 'classifier__learning_rate': 0.11634406184137816, 'classifier__max_depth': 6, 'classifier__min_child_weight': 18, 'classifier__n_estimators': 302, 'classifier__reg_alpha': 0.5867511656638482, 'classifier__reg_lambda': 5.32627653632069, 'classifier__subsample': 0.8624619866903397}",0.6547537827590033,0.6547537827590033,0.0,18
3.256455183029175,0.0,0.33634400367736816,0.0,0.7465997137078901,1.1850940228163296,0.0348320326875603,2,7,770,0.7722447692966574,1.493578407670862,0.6519327409932608,"{'classifier__colsample_bytree': 0.7465997137078901, 'classifier__gamma': 1.1850940228163296, 'classifier__learning_rate': 0.0348320326875603, 'classifier__max_depth': 2, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 770, 'classifier__reg_alpha': 0.7722447692966574, 'classifier__reg_lambda': 1.493578407670862, 'classifier__subsample': 0.6519327409932608}",0.6567611499107066,0.6567611499107066,0.0,10
2.682137966156006,0.0,0.28328418731689453,0.0,0.935411499959192,2.8274293753904685,0.10248086016491847,2,5,739,0.3584657285442726,1.0793452976256486,0.9520861990564577,"{'classifier__colsample_bytree': 0.935411499959192, 'classifier__gamma': 2.8274293753904685, 'classifier__learning_rate': 0.10248086016491847, 'classifier__max_depth': 2, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 739, 'classifier__reg_alpha': 0.3584657285442726, 'classifier__reg_lambda': 1.0793452976256486, 'classifier__subsample': 0.9520861990564577}",0.6570447175273119,0.6570447175273119,0.0,9
3.5233821868896484,0.0,0.5154318809509277,0.0,0.8681543443896453,1.3235920994105967,0.022627002034322836,7,5,348,0.5912977877077271,1.873608964950321,0.8464351990466954,"{'classifier__colsample_bytree': 0.8681543443896453, 'classifier__gamma': 1.3235920994105967, 'classifier__learning_rate': 0.022627002034322836, 'classifier__max_depth': 7, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 348, 'classifier__reg_alpha': 0.5912977877077271, 'classifier__reg_lambda': 1.873608964950321, 'classifier__subsample': 0.8464351990466954}",0.6560420463840826,0.6560420463840826,0.0,13
