model,mean_predicted_prob,actual_fg_pct
logreg,0.2909694486207551,0.3098032053330898
logreg,0.33728020207028697,0.3534998401899457
logreg,0.3604106753972603,0.36811104515775533
logreg,0.3810448755919803,0.37916076891466144
logreg,0.4026358253761757,0.40194511666133964
logreg,0.42902172065097033,0.4235879640199078
logreg,0.4740526826762642,0.4611661567964933
logreg,0.547711009323642,0.5411168439797269
logreg,0.6216632415610063,0.6342632756495137
logreg,0.8077551443395001,0.8099630153874252
xgb,0.2861619862831963,0.316469567599653
xgb,0.34589488754195824,0.35308890005022603
xgb,0.37414561691395654,0.3674261449248893
xgb,0.39768743267489765,0.38733391169353
xgb,0.4218774979166024,0.4023560568010593
xgb,0.4509136552917027,0.4255970047029816
xgb,0.48823842371845294,0.45993333637733436
xgb,0.5492534295107523,0.517008355782841
xgb,0.6814625186820231,0.6313866946714762
xgb,0.8515175859610581,0.8220172594858682
