feature,mean_abs_shap
categorical__zone_range_Center | 16-24 ft.,7.0278285e-05
categorical__shot_profile_Above the Break 3 | 24+ ft. | other,5.889993e-05
categorical__zone_range_Left Side Center | 16-24 ft.,5.634185e-05
categorical__shot_profile_Mid-Range | 16-24 ft. | stepback,5.4700165e-05
categorical__BASIC_ZONE_Mid-Range,4.8596907e-05
categorical__shot_profile_Mid-Range | 16-24 ft. | turnaround,4.8418704e-05
categorical__shot_profile_In The Paint (Non-RA) | 8-16 ft. | turnaround,4.6912755e-05
categorical__shot_profile_Above the Break 3 | 24+ ft. | fadeaway,4.1908006e-05
categorical__shot_profile_Mid-Range | 8-16 ft. | hook,2.4857565e-05
categorical__shot_profile_Mid-Range | 8-16 ft. | layup,2.211134e-05
categorical__shot_profile_In The Paint (Non-RA) | 8-16 ft. | running_jump,1.9805184e-05
categorical__shot_profile_In The Paint (Non-RA) | 8-16 ft. | other,1.6321226e-05
categorical__shot_profile_Mid-Range | 8-16 ft. | other,1.3306025e-05
categorical__shot_profile_Restricted Area | Less Than 8 ft. | turnaround,9.190989e-06
categorical__shot_profile_Left Corner 3 | 24+ ft. | fadeaway,8.774168e-06
categorical__shot_profile_Above the Break 3 | 24+ ft. | jump_shot,7.4796035e-06
categorical__shot_profile_Mid-Range | 8-16 ft. | running_jump,7.1199006e-06
categorical__shot_profile_In The Paint (Non-RA) | Less Than 8 ft. | running_jump,5.061213e-06
categorical__shot_profile_Restricted Area | Less Than 8 ft. | pullup,2.847385e-06
categorical__shot_profile_Left Corner 3 | 24+ ft. | stepback,2.2216595e-06
categorical__BASIC_ZONE_Left Corner 3,0.0
categorical__zone_range_Back Court | Back Court Shot,0.0
categorical__shot_profile_Above the Break 3 | Back Court Shot | other,0.0
categorical__zone_range_Right Side | 24+ ft.,0.0
categorical__shot_profile_Right Corner 3 | 24+ ft. | turnaround,0.0
categorical__shot_profile_Above the Break 3 | Back Court Shot | running_jump,0.0
categorical__shot_profile_In The Paint (Non-RA) | 8-16 ft. | dunk,0.0
categorical__shot_profile_Right Corner 3 | 24+ ft. | other,0.0
categorical__BASIC_ZONE_Right Corner 3,0.0
categorical__shot_profile_Above the Break 3 | Back Court Shot | pullup,0.0
categorical__zone_range_Left Side | 24+ ft.,0.0
categorical__shot_profile_Above the Break 3 | Back Court Shot | jump_shot,0.0
categorical__shot_profile_Restricted Area | Less Than 8 ft. | other,0.0
binary__is_three,0.0
categorical__shot_profile_Right Corner 3 | 24+ ft. | floater,0.0
